Trial,Average Fitness,Average Distance,Best Fitness,Best Distance,Best Route,Worst Fitness,Worst Distance,Worst Route
1,1.4738901625255379E-6,684336.97915744,1.8792113818832976E-6,532138.1137005596,F-D-H-L-J-K-I-M-G-A-B-C-E-F,1.1879533491067022E-6,841783.8972817946,L-I-C-F-E-G-H-J-M-K-B-D-A-L
1,1.7517076080533721E-6,572745.023732033,1.96154892824907E-6,509801.20128465333,F-E-H-L-J-K-I-M-G-A-B-C-D-F,1.4847581417626632E-6,673510.366350191,H-A-M-I-J-K-B-F-E-C-L-D-G-H
2,1.8162200751024873E-6,553722.1307947132,2.117386646885937E-6,472280.2996187355,A-M-H-L-B-F-I-E-C-J-K-D-G-A,1.5063413734068305E-6,663860.1432943059,A-H-L-B-J-K-I-M-F-E-C-D-G-A
3,1.8664671859445672E-6,539099.4134631925,2.2242182928935055E-6,449596.15843240416,M-G-H-L-B-F-I-E-C-J-K-D-A-M,1.4577212406664983E-6,686002.2150344608,J-M-H-L-B-F-I-E-K-G-A-C-D-J
4,1.952462880484843E-6,514193.5225734215,2.235499134308899E-6,447327.3930876061,M-G-H-L-A-F-I-E-C-J-K-D-B-M,1.482588000349535E-6,674496.2186151783,G-L-M-H-B-F-I-E-C-A-J-K-D-G
5,2.159108824178456E-6,466090.09233090386,2.235499134308899E-6,447327.3930876061,M-G-H-L-A-F-I-E-C-J-K-D-B-M,1.6468283160608685E-6,607227.8392637493,M-G-H-L-A-F-I-E-C-B-J-K-D-M
6,2.166598785866116E-6,464045.0117815356,2.235499134308899E-6,447327.3930876061,M-G-H-L-A-F-I-E-C-J-K-D-B-M,1.6468283160608685E-6,607227.8392637493,M-G-H-L-A-F-I-E-C-B-J-K-D-M
7,2.156763498989706E-6,465869.7585235635,2.235499134308899E-6,447327.3930876061,M-G-H-L-A-F-I-E-C-J-K-D-B-M,1.6468283160608685E-6,607227.8392637493,M-G-H-L-A-F-I-E-C-B-J-K-D-M
8,1.8605098262887598E-6,538817.5565185773,2.235499134308899E-6,447327.3930876061,M-G-H-L-A-F-I-E-C-J-K-D-B-M,1.593540022596102E-6,627533.6582829333,M-G-H-L-A-K-F-I-E-C-J-B-D-M
9,1.85068416110778E-6,541725.6977925812,2.235499134308899E-6,447327.3930876061,M-G-H-L-A-F-I-E-C-J-K-D-B-M,1.593540022596102E-6,627533.6582829333,M-G-H-L-A-K-F-I-E-C-J-B-D-M
10,1.749195214974587E-6,579857.9055831836,2.235499134308899E-6,447327.3930876061,M-G-H-L-A-F-I-E-C-J-K-D-B-M,1.3944424974599635E-6,717132.4753953947,M-G-H-L-A-F-K-E-C-I-J-B-D-M
1001,2.0519235323717543E-6,489970.52638930996,2.8428810216315003E-6,351755.8393724512,B-M-A-F-I-E-H-L-J-C-K-D-G-B,1.7158715246718898E-6,582794.2160128922,D-M-A-F-I-E-H-L-J-G-C-K-B-D
2001,2.0514159929378187E-6,489186.7819477322,2.9291505937987627E-6,341395.89890566806,A-B-M-G-I-E-H-L-J-C-K-D-F-A,1.8206105581668504E-6,549266.286254479,F-B-G-I-E-H-L-J-M-C-K-D-A-F
3001,2.54304377306787E-6,393269.1434141515,2.9291505937987627E-6,341395.89890566806,A-B-M-G-I-E-H-L-J-C-K-D-F-A,2.5411035377878013E-6,393529.8129845453,F-B-M-G-I-E-H-L-J-C-K-D-A-F
4001,1.8438093873270412E-6,550187.2761272029,2.9291505937987627E-6,341395.89890566806,A-B-M-G-I-E-H-L-J-C-K-D-F-A,1.7269285849813974E-6,579062.7410401988,D-B-M-G-I-E-H-L-J-F-K-C-A-D
5001,2.4076721656873816E-6,433246.8348054361,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.7269300993778323E-6,579062.2332428358,I-A-J-M-G-E-H-L-B-C-K-D-F-I
6001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
7001,2.2979041969091328E-6,443953.3376160334,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.009321050614544E-6,497680.54721476865,L-A-B-M-G-E-H-I-J-C-K-D-F-L
8001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
9001,1.8872778081111422E-6,547122.491435425,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.6457422304681912E-6,607628.5711617874,I-K-B-M-G-E-H-L-J-D-A-C-F-I
10001,2.2723339767781737E-6,443185.0532837173,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.1850967580132463E-6,457645.63803995075,K-A-B-M-G-E-H-L-J-C-I-D-F-K
11001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
12001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
13001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
14001,2.784686912884124E-6,359504.971463966,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.756850343663704E-6,362732.78391711845,A-F-B-M-G-E-H-L-J-C-K-D-I-A
15001,2.2465931166131335E-6,448446.37717889907,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.8499717284140342E-6,540548.8011740006,I-A-B-M-G-E-H-L-J-F-C-D-K-I
16001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-K-L-J-C-H-D-I-F
17001,2.4726534576956475E-6,413527.4066511661,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.7368077192635653E-6,575768.9748316044,F-A-J-M-G-E-H-L-C-K-B-D-I-F
18001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
19001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
20001,1.8993553980396682E-6,538921.7166139786,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.5572526034804668E-6,642156.5761168068,M-H-I-G-E-B-L-J-A-C-K-D-F-M
21001,2.775468645754541E-6,360574.77821923635,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.756850343663704E-6,362732.78391711845,A-F-B-M-G-E-H-L-J-C-K-D-I-A
22001,2.6207129577985853E-6,382307.51797364035,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.5829675482075914E-6,387151.59262993216,A-B-F-M-G-E-H-L-J-C-K-D-I-A
23001,2.8396049635738057E-6,352471.0273448867,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.815343593452877E-6,355196.43226692284,A-I-B-M-G-E-H-L-J-C-K-D-F-A
24001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
25001,2.1944950110037474E-6,457762.1519851943,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.8658643957849123E-6,535944.6282693713,A-B-I-M-G-E-H-L-J-F-C-K-D-A
26001,2.554479575088865E-6,391902.39350211347,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.123617015310285E-6,470894.7012528474,I-A-B-M-G-E-H-L-J-F-C-K-D-I
27001,1.9390559740726237E-6,533397.5410317088,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.6880248098001265E-6,592408.354542139,G-A-B-J-I-E-H-L-M-C-K-D-F-G
28001,2.7773122991804586E-6,360360.81686818233,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.756850343663704E-6,362732.78391711845,A-F-B-M-G-E-H-L-J-C-K-D-I-A
29001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
30001,2.939364073768866E-6,340380.88686827867,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.9149610029602256E-6,343057.762688582,F-B-A-M-G-E-H-L-J-C-K-D-I-F
31001,2.905465801981318E-6,344937.8671823662,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.792735370749455E-6,358071.87837193516,F-A-B-M-G-E-L-H-J-C-K-D-I-F
32001,2.3231324533527584E-6,434215.1398800441,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.951430858960858E-6,512444.49446315644,A-F-B-M-G-I-E-H-L-C-K-D-J-A
33001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
34001,2.892623681755371E-6,346120.41118531674,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.6620609685770515E-6,375648.7968547651,A-B-I-M-G-E-H-L-J-C-K-D-F-A
35001,2.580022338287537E-6,390185.1052171581,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.429931469709283E-6,411534.2397370738,A-I-B-G-E-M-H-L-J-C-K-D-F-A
36001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
37001,2.8309401885306187E-6,353444.3862456136,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.815343593452877E-6,355196.43226692284,A-I-B-M-G-E-H-L-J-C-K-D-F-A
38001,2.855909609758101E-6,350677.97163637495,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.8121917546977907E-6,355594.5281218791,I-A-B-M-G-E-H-L-J-C-K-F-D-I
39001,2.6972181492840155E-6,371359.9089914416,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.6620609685770515E-6,375648.7968547651,A-B-I-M-G-E-H-L-J-C-K-D-F-A
40001,1.8797453718155838E-6,549555.5903421383,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.682817723309931E-6,594241.4238620579,A-J-B-M-G-E-H-L-F-C-K-D-I-A
41001,2.1398301764732327E-6,475344.01345022215,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.94700943557662E-6,513608.1940475256,A-B-F-M-G-C-H-L-J-E-K-D-I-A
42001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
43001,2.7142028319067708E-6,372008.471058918,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.5400849239670635E-6,393687.6246004469,I-A-B-M-G-E-H-L-D-C-J-K-F-I
44001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
45001,2.01835286426714E-6,506714.6653634581,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.618327109144581E-6,617922.0470011049,I-G-B-M-E-A-H-L-J-F-C-D-K-I
